Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,0,World,WLD,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,321005921,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,0,World,WLD,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,34288564,0
H2,2006,2006,2006,2,0,3,Re-Export,8,Albania,ALB,0,World,WLD,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,4388,0
H2,2006,2006,2006,2,0,4,Re-Import,8,Albania,ALB,0,World,WLD,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,819546,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,8,Albania,ALB,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,467,0
H2,2006,2006,2006,2,0,4,Re-Import,8,Albania,ALB,8,Albania,ALB,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,467,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,12,Algeria,DZA,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,2585981,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,31,Azerbaijan,AZE,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,811033,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,2754965,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,244903,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,20870032,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,124,Canada,CAN,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,131227,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,124,Canada,CAN,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,10,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,156,China,CHN,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,523165,0
H2,2006,2006,2006,2,0,4,Re-Import,8,Albania,ALB,156,China,CHN,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,511749,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,191,Croatia,HRV,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,8748723,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,203,Czechia,CZE,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,9349549,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,251,France,FRA,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,476480,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,251,France,FRA,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,1013369,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,268,Georgia,GEO,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,7725992,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,268,Georgia,GEO,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,661573,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,276,Germany,DEU,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,9536894,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,276,Germany,DEU,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,3092,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,300,Greece,GRC,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,113300535,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,300,Greece,GRC,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,251826,0
H2,2006,2006,2006,2,0,3,Re-Export,8,Albania,ALB,300,Greece,GRC,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,4388,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,344,"China, Hong Kong SAR",HKG,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,5615,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,348,Hungary,HUN,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,21188,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,360,Indonesia,IDN,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,1301,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,376,Israel,ISR,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,88310,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,381,Italy,ITA,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,12265310,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,381,Italy,ITA,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,17983107,0
