Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,601213076,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,328795039,0
H0,1989,1989,1989,2,0,3,Re-Export,36,Australia,AUS,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1332755,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,32,Argentina,ARG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,64036,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,28437,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,9736,0
H0,1989,1989,1989,2,0,3,Re-Export,36,Australia,AUS,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,9736,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,48,Bahrain,BHR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,978,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,58,Belgium-Luxembourg,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,158020,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,58,Belgium-Luxembourg,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,519786,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,68,Bolivia (Plurinational State of),BOL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,131924,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,76,Brazil,BRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4144385,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,76,Brazil,BRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,13281,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,90,Solomon Isds,SLB,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,404801,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,90,Solomon Isds,SLB,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,76708,0
H0,1989,1989,1989,2,0,3,Re-Export,36,Australia,AUS,90,Solomon Isds,SLB,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7814,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,12616,0
