Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,69744522,0
H3,2010,2010,2010,2,0,2,Export,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,15248339,0
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,36,Australia,AUS,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,753,0
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,3684299,0
H3,2010,2010,2010,2,0,2,Export,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,23064,0
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,60163,0
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,5910626,0
H3,2010,2010,2010,2,0,2,Export,8,Albania,ALB,70,Bosnia Herzegovina,BIH,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1,0
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,76,Brazil,BRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,18102,0
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,3470382,0
H3,2010,2010,2010,2,0,2,Export,8,Albania,ALB,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,161024,0
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,124,Canada,CAN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,788,0
H3,2010,2010,2010,2,0,2,Export,8,Albania,ALB,124,Canada,CAN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,18648,0
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,152,Chile,CHL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,39,0
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,156,China,CHN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2268579,0
H3,2010,2010,2010,2,0,2,Export,8,Albania,ALB,156,China,CHN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,135430,0
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,191,Croatia,HRV,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,272627,0
H3,2010,2010,2010,2,0,2,Export,8,Albania,ALB,191,Croatia,HRV,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,18236,0
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,203,Czechia,CZE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,125473,0
H3,2010,2010,2010,2,0,1,Import,8,Albania,ALB,208,Denmark,DNK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,25605,0
H3,2010,2010,2010,2,0,2,Export,8,Albania,ALB,208,Denmark,DNK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,154890,0
