Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,0,72110043,0
H5,2017,2017,2017,2,0,2,Export,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,0,20587058,0
H5,2017,2017,2017,2,0,2,Export,8,Albania,ALB,31,Azerbaijan,AZE,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,0,13,0
H5,2017,2017,2017,2,0,2,Export,8,Albania,ALB,36,Australia,AUS,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,0,14986,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,0,3177142,0
H5,2017,2017,2017,2,0,2,Export,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,0,46046,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,48,Bahrain,BHR,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,0,81,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,50,Bangladesh,BGD,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,0,1393,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,0,98980,0
H5,2017,2017,2017,2,0,2,Export,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,0,37431,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,0,8554128,0
